,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)

A2:8C:7B:43:54:93,-59,"Genjutsu"
16:13:33:9F:0A:35,-27,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-71,"vivo Y75 5G"
42:3B:A0:88:33:21,-47,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-80,"Redmi Note 10S"
00:FC:BA:32:99:40,-71,"PSG"
3A:8A:80:CD:BE:AA,-62,"vedha's  A23"
A6:02:B9:30:81:D5,-81,"Prai"
78:72:5D:DE:99:20,-86,"AMCS"
8A:8F:BA:39:CF:C2,-49,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-86,"Berlin's PC"
00:FC:BA:32:91:40,-87,"PSG"

A2:8C:7B:43:54:93,-62,"Genjutsu"
16:13:33:9F:0A:35,-28,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-66,"vivo Y75 5G"
42:3B:A0:88:33:21,-47,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-78,"Redmi Note 10S"
00:FC:BA:32:99:40,-64,"PSG"
3A:8A:80:CD:BE:AA,-60,"vedha's  A23"
A6:02:B9:30:81:D5,-66,"Prai"
78:72:5D:DE:99:20,-86,"AMCS"
8A:8F:BA:39:CF:C2,-49,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-86,"Berlin's PC"
00:FC:BA:32:91:40,-87,"PSG"

A2:8C:7B:43:54:93,-56,"Genjutsu"
16:13:33:9F:0A:35,-19,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-63,"vivo Y75 5G"
42:3B:A0:88:33:21,-58,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-83,"Redmi Note 10S"
00:FC:BA:32:99:40,-70,"PSG"
3A:8A:80:CD:BE:AA,-70,"vedha's  A23"
A6:02:B9:30:81:D5,-66,"Prai"
78:72:5D:DE:99:20,-86,"AMCS"
8A:8F:BA:39:CF:C2,-49,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-86,"Berlin's PC"
00:FC:BA:32:91:40,-87,"PSG"

A2:8C:7B:43:54:93,-57,"Genjutsu"
16:13:33:9F:0A:35,-22,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-68,"vivo Y75 5G"
42:3B:A0:88:33:21,-58,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-81,"Redmi Note 10S"
00:FC:BA:32:99:40,-69,"PSG"
3A:8A:80:CD:BE:AA,-60,"vedha's  A23"
A6:02:B9:30:81:D5,-70,"Prai"
78:72:5D:DE:99:20,-86,"AMCS"
8A:8F:BA:39:CF:C2,-49,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-86,"Berlin's PC"
00:FC:BA:32:91:40,-87,"PSG"

A2:8C:7B:43:54:93,-51,"Genjutsu"
16:13:33:9F:0A:35,-34,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-69,"vivo Y75 5G"
42:3B:A0:88:33:21,-60,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-75,"Redmi Note 10S"
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)

A2:8C:7B:43:54:93,-53,"Genjutsu"
16:13:33:9F:0A:35,-39,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-65,"vivo Y75 5G"
42:3B:A0:88:33:21,-60,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-74,"Redmi Note 10S"
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)

A2:8C:7B:43:54:93,-56,"Genjutsu"
16:13:33:9F:0A:35,-23,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-66,"vivo Y75 5G"
42:3B:A0:88:33:21,-70,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-72,"Redmi Note 10S"
00:FC:BA:32:99:40,-56,"PSG"
3A:8A:80:CD:BE:AA,-51,"vedha's  A23"
A6:02:B9:30:81:D5,-68,"Prai"
78:72:5D:DE:99:20,-77,"AMCS"
8A:8F:BA:39:CF:C2,-77,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-91,"Berlin's PC"
00:FC:BA:32:91:40,-79,"PSG"

A2:8C:7B:43:54:93,-53,"Genjutsu"
16:13:33:9F:0A:35,-33,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-72,"vivo Y75 5G"
42:3B:A0:88:33:21,-64,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-63,"Redmi Note 10S"
00:FC:BA:32:99:40,-61,"PSG"
3A:8A:80:CD:BE:AA,-60,"vedha's  A23"
A6:02:B9:30:81:D5,-74,"Prai"
78:72:5D:DE:99:20,-86,"AMCS"
8A:8F:BA:39:CF:C2,-77,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-91,"Berlin's PC"
00:FC:BA:32:91:40,-79,"PSG"

A2:8C:7B:43:54:93,-52,"Genjutsu"
16:13:33:9F:0A:35,-41,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-71,"vivo Y75 5G"
42:3B:A0:88:33:21,-61,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-70,"Redmi Note 10S"
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)

A2:8C:7B:43:54:93,-56,"Genjutsu"
16:13:33:9F:0A:35,-39,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-81,"vivo Y75 5G"
42:3B:A0:88:33:21,-65,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-58,"Redmi Note 10S"
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)

A2:8C:7B:43:54:93,-56,"Genjutsu"
16:13:33:9F:0A:35,-40,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-68,"vivo Y75 5G"
42:3B:A0:88:33:21,-58,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-66,"Redmi Note 10S"
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)

A2:8C:7B:43:54:93,-56,"Genjutsu"
16:13:33:9F:0A:35,-44,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-69,"vivo Y75 5G"
42:3B:A0:88:33:21,-66,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-81,"Redmi Note 10S"
00:FC:BA:32:99:40,-61,"PSG"
3A:8A:80:CD:BE:AA,-54,"vedha's  A23"
A6:02:B9:30:81:D5,-70,"Prai"
78:72:5D:DE:99:20,-73,"AMCS"
8A:8F:BA:39:CF:C2,-63,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-91,"Berlin's PC"
00:FC:BA:32:91:40,-83,"PSG"

A2:8C:7B:43:54:93,-58,"Genjutsu"
16:13:33:9F:0A:35,-34,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-73,"vivo Y75 5G"
42:3B:A0:88:33:21,-71,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-73,"Redmi Note 10S"
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)

A2:8C:7B:43:54:93,-60,"Genjutsu"
16:13:33:9F:0A:35,-20,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-68,"vivo Y75 5G"
42:3B:A0:88:33:21,-66,"Galaxy M12 0EAC"
