00:FC:BA:32:99:40,-62,PSG
00:FC:BA:32:99:40,-61,PSG
00:FC:BA:32:99:40,-58,PSG
78:72:5D:DE:99:20,-82,AMCS
00:FC:BA:32:99:40,-58,PSG
78:72:5D:DE:99:20,-81,AMCS
00:FC:BA:32:99:40,-60,PSG
78:72:5D:DE:99:20,-78,AMCS
00:FC:BA:32:99:40,-60,PSG
78:72:5D:DE:99:20,-78,AMCS
78:72:5D:F5:5F:10,-86,AMCS
00:FC:BA:32:99:40,-63,PSG
78:72:5D:DE:99:20,-83,AMCS
78:72:5D:F5:5F:10,-86,AMCS
00:FC:BA:32:99:40,-59,PSG
78:72:5D:DE:99:20,-78,AMCS
78:72:5D:F5:5F:10,-86,AMCS
00:FC:BA:32:99:40,-59,PSG
78:72:5D:DE:99:20,-76,AMCS
78:72:5D:F5:5F:10,-86,AMCS
00:FC:BA:32:99:40,-59,PSG
78:72:5D:DE:99:20,-80,AMCS
78:72:5D:F5:5F:10,-86,AMCS
